                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999864 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  377529534 |  377529534 |  377529534 |  377529534 |  377529534 |  377529534 |  377529534 |  377529534
  IPC                                |       1.32 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  111038099 |  111038099 |  111038099 |  111038099 |  111038099 |  111038099 |  111038099 |  111038099
  Idle time (ns)                     |       5647 |  111038099 |  111038099 |  111038099 |  111038099 |  111038099 |  111038099 |  111038099
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   35016709 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    3512680 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      9.12% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       7.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   90596202 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     469309 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.52% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  265989652 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     957899 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.36% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.92 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1427208 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     133592 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      9.36% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.27 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   90596202 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    7449337 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      8.22% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      14.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  265989652 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1979128 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.74% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.96 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    9436657 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     653366 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      6.92% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     661897 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      93606 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     14.14% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.19 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      94575 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     105.33 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       2.82 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      33603 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
